item_id,template_family,mode,condition,evaluation_mode,position,raw_response,presented_choice,original_choice,option_order,model,input_tokens,output_tokens,timestamp,delta_benefit_magnitude,delta_harm_magnitude,delta_benefit_probability,delta_temporal_delay,delta_directness_of_harm,delta_beneficiary_identified,delta_consent_of_harmed_party,delta_reversibility_of_harm
cand_0362,direct_harm_tradeoff,pre,no_reflection,independent,0,A,A,A,AB,google/gemma-3-12b-it,181,2,2026-03-13T00:01:04.049013+00:00,990,0,0.0,0,1,-1,0,-1
cand_0398,direct_harm_tradeoff,pre,no_reflection,independent,1,A,A,B,BA,google/gemma-3-12b-it,172,2,2026-03-13T00:01:06.214104+00:00,-900,0,0.0,-10,0,1,0,-1
cand_0377,direct_harm_tradeoff,pre,no_reflection,independent,2,A,A,B,BA,google/gemma-3-12b-it,172,2,2026-03-13T00:01:08.748952+00:00,-90,-9,-0.8,-90,1,0,1,-1
cand_0256,policy_prevention,pre,no_reflection,independent,3,A,A,B,BA,google/gemma-3-12b-it,185,2,2026-03-13T00:01:11.259099+00:00,-990,9,0.0,0,0,-1,0,0
cand_0170,direct_harm_tradeoff,pre,no_reflection,independent,4,A,A,B,BA,google/gemma-3-12b-it,165,2,2026-03-13T00:01:13.715305+00:00,-90,0,-0.8,100,0,0,0,1
cand_0234,rescue_triage,pre,no_reflection,independent,5,B,B,A,BA,google/gemma-3-12b-it,139,2,2026-03-13T00:01:16.174232+00:00,900,0,0.5,-90,0,0,0,0
cand_0198,rescue_triage,pre,no_reflection,independent,6,A,A,B,BA,google/gemma-3-12b-it,165,2,2026-03-13T00:01:18.325479+00:00,0,0,-0.8,0,1,0,0,-1
cand_0488,direct_harm_tradeoff,pre,no_reflection,independent,7,A,A,A,AB,google/gemma-3-12b-it,173,2,2026-03-13T00:01:20.506323+00:00,-990,0,0.5,90,0,0,1,-1
cand_0101,direct_harm_tradeoff,pre,no_reflection,independent,8,B,B,B,AB,google/gemma-3-12b-it,171,2,2026-03-13T00:01:22.919558+00:00,90,9,-0.3,10,1,0,-1,-1
cand_0120,rescue_triage,pre,no_reflection,independent,9,A,A,A,AB,google/gemma-3-12b-it,164,2,2026-03-13T00:01:25.111409+00:00,900,0,0.8,-100,-1,-1,0,0
cand_0222,rescue_triage,pre,no_reflection,independent,10,B,B,B,AB,google/gemma-3-12b-it,164,2,2026-03-13T00:01:27.515634+00:00,-900,0,-0.8,0,0,1,-1,0
cand_0191,direct_harm_tradeoff,pre,no_reflection,independent,11,A,A,A,AB,google/gemma-3-12b-it,154,2,2026-03-13T00:01:29.683580+00:00,0,-10,0.5,-10,-1,1,-1,-1
cand_0485,direct_harm_tradeoff,pre,no_reflection,independent,12,B,B,A,BA,google/gemma-3-12b-it,171,2,2026-03-13T00:01:31.864913+00:00,0,0,0.0,10,1,1,1,0
cand_0400,policy_prevention,pre,no_reflection,independent,13,A,A,A,AB,google/gemma-3-12b-it,169,2,2026-03-13T00:01:34.400747+00:00,90,9,0.3,0,1,0,1,0
cand_0130,policy_prevention,pre,no_reflection,independent,14,A,A,B,BA,google/gemma-3-12b-it,173,2,2026-03-13T00:01:36.571493+00:00,-900,0,0.0,0,0,-1,-1,0
cand_0479,direct_harm_tradeoff,pre,no_reflection,independent,15,A,A,A,AB,google/gemma-3-12b-it,173,2,2026-03-13T00:01:38.786294+00:00,0,0,0.0,0,0,1,-1,1
cand_0016,policy_prevention,pre,no_reflection,independent,16,A,A,A,AB,google/gemma-3-12b-it,167,2,2026-03-13T00:01:40.955203+00:00,90,9,0.8,-100,1,-1,0,0
cand_0207,rescue_triage,pre,no_reflection,independent,17,B,B,A,BA,google/gemma-3-12b-it,154,2,2026-03-13T00:01:43.149574+00:00,900,-9,0.0,0,-1,0,0,0
cand_0480,rescue_triage,pre,no_reflection,independent,18,A,A,A,AB,google/gemma-3-12b-it,165,2,2026-03-13T00:01:45.666158+00:00,900,-9,0.3,100,0,0,1,0
cand_0453,rescue_triage,pre,no_reflection,independent,19,"A
",A,A,AB,google/gemma-3-12b-it,148,3,2026-03-13T00:01:48.124337+00:00,-90,1,0.5,0,-1,0,0,0
cand_0457,policy_prevention,pre,no_reflection,independent,20,B,B,A,BA,google/gemma-3-12b-it,168,2,2026-03-13T00:01:50.346614+00:00,0,0,0.5,0,0,0,0,0
cand_0208,policy_prevention,pre,no_reflection,independent,21,B,B,B,AB,google/gemma-3-12b-it,164,2,2026-03-13T00:01:53.245531+00:00,0,1,-0.8,0,-1,0,0,1
cand_0123,rescue_triage,pre,no_reflection,independent,22,A,A,B,BA,google/gemma-3-12b-it,158,2,2026-03-13T00:01:55.410762+00:00,0,0,0.0,90,1,1,-1,0
cand_0456,rescue_triage,pre,no_reflection,independent,23,A,A,A,AB,google/gemma-3-12b-it,166,2,2026-03-13T00:01:57.581880+00:00,0,-9,-0.8,0,1,0,1,0
cand_0062,direct_harm_tradeoff,pre,no_reflection,independent,24,B,B,B,AB,google/gemma-3-12b-it,180,2,2026-03-13T00:01:59.787274+00:00,-900,0,0.0,-90,0,0,-1,-1
cand_0058,policy_prevention,pre,no_reflection,independent,25,B,B,B,AB,google/gemma-3-12b-it,164,2,2026-03-13T00:02:01.960796+00:00,0,10,-0.5,-90,0,-1,0,0
cand_0172,policy_prevention,pre,no_reflection,independent,26,B,B,A,BA,google/gemma-3-12b-it,164,2,2026-03-13T00:02:04.509817+00:00,90,-9,0.0,10,1,0,-1,1
cand_0264,rescue_triage,pre,no_reflection,independent,27,A,A,A,AB,google/gemma-3-12b-it,157,2,2026-03-13T00:02:06.966114+00:00,0,10,0.0,-100,0,0,1,1
cand_0199,policy_prevention,pre,no_reflection,independent,28,A,A,B,BA,google/gemma-3-12b-it,177,2,2026-03-13T00:02:09.123484+00:00,-990,0,0.5,0,-1,-1,0,0
cand_0460,policy_prevention,pre,no_reflection,independent,29,A,A,B,BA,google/gemma-3-12b-it,181,2,2026-03-13T00:02:11.407736+00:00,0,0,-0.8,0,1,0,0,0
cand_0497,direct_harm_tradeoff,pre,no_reflection,independent,30,A,A,B,BA,google/gemma-3-12b-it,152,2,2026-03-13T00:02:13.929370+00:00,0,10,-0.8,10,0,1,0,1
cand_0441,rescue_triage,pre,no_reflection,independent,31,B,B,A,BA,google/gemma-3-12b-it,163,2,2026-03-13T00:02:16.072638+00:00,990,0,-0.3,-10,-1,-1,-1,0
cand_0427,policy_prevention,pre,no_reflection,independent,32,A,A,B,BA,google/gemma-3-12b-it,179,2,2026-03-13T00:02:18.467253+00:00,0,0,0.0,-90,0,0,0,-1
cand_0293,direct_harm_tradeoff,pre,no_reflection,independent,33,B,B,A,BA,google/gemma-3-12b-it,178,2,2026-03-13T00:02:20.706577+00:00,-900,0,0.0,10,-1,1,0,0
cand_0067,policy_prevention,pre,no_reflection,independent,34,B,B,A,BA,google/gemma-3-12b-it,182,2,2026-03-13T00:02:23.152422+00:00,0,-9,0.3,100,0,1,0,1
cand_0129,rescue_triage,pre,no_reflection,independent,35,A,A,B,BA,google/gemma-3-12b-it,171,2,2026-03-13T00:02:25.612729+00:00,0,0,0.0,0,0,1,-1,0
cand_0019,policy_prevention,pre,no_reflection,independent,36,A,A,A,AB,google/gemma-3-12b-it,178,2,2026-03-13T00:02:27.888338+00:00,0,-9,0.3,0,1,1,1,0
cand_0383,direct_harm_tradeoff,pre,no_reflection,independent,37,A,A,B,BA,google/gemma-3-12b-it,174,2,2026-03-13T00:02:30.313963+00:00,900,9,-0.5,90,0,0,-1,0
cand_0340,policy_prevention,pre,no_reflection,independent,38,B,B,B,AB,google/gemma-3-12b-it,165,2,2026-03-13T00:02:32.500888+00:00,0,0,0.0,10,-1,0,-1,0
cand_0435,rescue_triage,pre,no_reflection,independent,39,B,B,B,AB,google/gemma-3-12b-it,134,2,2026-03-13T00:02:34.667461+00:00,-900,0,0.0,0,-1,0,0,0
cand_0052,policy_prevention,pre,no_reflection,independent,40,A,A,A,AB,google/gemma-3-12b-it,179,2,2026-03-13T00:02:37.482121+00:00,990,-9,-0.3,100,-1,1,0,0
cand_0286,policy_prevention,pre,no_reflection,independent,41,B,B,B,AB,google/gemma-3-12b-it,172,2,2026-03-13T00:02:39.905808+00:00,-90,-9,-0.3,0,-1,0,0,0
cand_0341,direct_harm_tradeoff,pre,no_reflection,independent,42,A,A,A,AB,google/gemma-3-12b-it,171,2,2026-03-13T00:02:42.353949+00:00,0,0,0.8,90,0,0,1,0
cand_0288,rescue_triage,pre,no_reflection,independent,43,A,A,A,AB,google/gemma-3-12b-it,140,2,2026-03-13T00:02:44.591395+00:00,90,0,0.3,0,-1,0,0,0
cand_0180,rescue_triage,pre,no_reflection,independent,44,A,A,A,AB,google/gemma-3-12b-it,172,2,2026-03-13T00:02:46.763001+00:00,0,0,0.0,0,1,-1,0,0
cand_0260,direct_harm_tradeoff,pre,no_reflection,independent,45,A,A,A,AB,google/gemma-3-12b-it,179,2,2026-03-13T00:02:49.359612+00:00,0,0,0.0,-100,0,1,0,0
cand_0125,direct_harm_tradeoff,pre,no_reflection,independent,46,A,A,B,BA,google/gemma-3-12b-it,164,2,2026-03-13T00:02:51.573564+00:00,-900,10,0.3,-100,0,0,1,0
cand_0088,policy_prevention,pre,no_reflection,independent,47,A,A,A,AB,google/gemma-3-12b-it,168,2,2026-03-13T00:02:53.968666+00:00,-900,9,0.8,0,-1,1,1,-1
cand_0008,direct_harm_tradeoff,pre,no_reflection,independent,48,A,A,A,AB,google/gemma-3-12b-it,150,2,2026-03-13T00:02:56.157441+00:00,990,-1,0.0,10,0,-1,0,0
cand_0215,direct_harm_tradeoff,pre,no_reflection,independent,49,A,A,A,AB,google/gemma-3-12b-it,161,2,2026-03-13T00:02:58.782465+00:00,0,9,0.0,10,0,0,1,0
cand_0419,direct_harm_tradeoff,pre,no_reflection,independent,50,A,A,B,BA,google/gemma-3-12b-it,158,2,2026-03-13T00:03:01.238440+00:00,-990,-1,-0.5,100,-1,1,-1,-1
cand_0375,rescue_triage,pre,no_reflection,independent,51,A,A,A,AB,google/gemma-3-12b-it,152,2,2026-03-13T00:03:03.432504+00:00,-90,-9,0.0,-10,0,0,-1,1
cand_0413,direct_harm_tradeoff,pre,no_reflection,independent,52,B,B,B,AB,google/gemma-3-12b-it,176,2,2026-03-13T00:03:05.611551+00:00,0,9,-0.3,10,-1,1,1,0
cand_0006,rescue_triage,pre,no_reflection,independent,53,A,A,B,BA,google/gemma-3-12b-it,158,2,2026-03-13T00:03:07.777860+00:00,0,0,0.5,-10,1,0,0,0
cand_0177,rescue_triage,pre,no_reflection,independent,54,A,A,B,BA,google/gemma-3-12b-it,167,2,2026-03-13T00:03:10.251166+00:00,900,-9,-0.3,-10,1,-1,0,-1
cand_0146,direct_harm_tradeoff,pre,no_reflection,independent,55,A,A,A,AB,google/gemma-3-12b-it,178,2,2026-03-13T00:03:12.401461+00:00,0,-9,0.0,0,1,0,0,0
cand_0001,policy_prevention,pre,no_reflection,independent,56,A,A,B,BA,google/gemma-3-12b-it,167,2,2026-03-13T00:03:14.961617+00:00,-900,-9,0.0,-10,1,0,1,0
cand_0226,policy_prevention,pre,no_reflection,independent,57,B,B,A,BA,google/gemma-3-12b-it,167,2,2026-03-13T00:03:17.126917+00:00,900,9,0.5,0,-1,0,-1,0
cand_0192,rescue_triage,pre,no_reflection,independent,58,A,A,A,AB,google/gemma-3-12b-it,161,2,2026-03-13T00:03:19.283932+00:00,90,0,0.0,-100,0,1,1,1
