item_id,template_family,mode,condition,evaluation_mode,position,raw_response,presented_choice,original_choice,option_order,response_label_scheme,model,input_tokens,output_tokens,timestamp,base_item_id,paired_order,paraphrase_group,domain,scenario_text,option_A_text,option_B_text
nm_0001__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,0,A,A,A,AB,ab,claude-sonnet-4-5-20250929,95,4,2026-03-13T03:17:48.342272+00:00,nm_0001,AB,nm_0001,shopping,You are choosing between two grocery store discount offers.,Save $5 on a $20 purchase today.,Save $2 on a $20 purchase today.
nm_0001__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,1,B,B,A,BA,ab,claude-sonnet-4-5-20250929,95,4,2026-03-13T03:17:51.048439+00:00,nm_0001,BA,nm_0001,shopping,You are choosing between two grocery store discount offers.,Save $5 on a $20 purchase today.,Save $2 on a $20 purchase today.
nm_0002__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,2,A,A,A,AB,ab,claude-sonnet-4-5-20250929,97,4,2026-03-13T03:17:54.676349+00:00,nm_0002,AB,nm_0002,travel,You are choosing between two train itineraries for the same trip.,Arrives in 35 minutes with no transfers.,Arrives in 50 minutes with one transfer.
nm_0002__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,3,B,B,A,BA,ab,claude-sonnet-4-5-20250929,97,4,2026-03-13T03:17:57.522242+00:00,nm_0002,BA,nm_0002,travel,You are choosing between two train itineraries for the same trip.,Arrives in 35 minutes with no transfers.,Arrives in 50 minutes with one transfer.
nm_0003__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,4,A,A,A,AB,ab,claude-sonnet-4-5-20250929,89,4,2026-03-13T03:18:00.911394+00:00,nm_0003,AB,nm_0003,storage,You are choosing between two cloud storage plans at the same monthly price.,200 GB of storage.,50 GB of storage.
nm_0003__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,5,B,B,A,BA,ab,claude-sonnet-4-5-20250929,89,4,2026-03-13T03:18:04.307204+00:00,nm_0003,BA,nm_0003,storage,You are choosing between two cloud storage plans at the same monthly price.,200 GB of storage.,50 GB of storage.
nm_0004__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,6,A,A,A,AB,ab,claude-sonnet-4-5-20250929,97,4,2026-03-13T03:18:05.537129+00:00,nm_0004,AB,nm_0004,battery,You are choosing between two portable battery packs at the same price.,Lasts for 12 hours of use.,Lasts for 6 hours of use.
nm_0004__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,7,B,B,A,BA,ab,claude-sonnet-4-5-20250929,97,4,2026-03-13T03:18:07.993359+00:00,nm_0004,BA,nm_0004,battery,You are choosing between two portable battery packs at the same price.,Lasts for 12 hours of use.,Lasts for 6 hours of use.
nm_0005__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,8,A,A,A,AB,ab,claude-sonnet-4-5-20250929,93,4,2026-03-13T03:18:10.554590+00:00,nm_0005,AB,nm_0005,internet,You are choosing between two home internet plans with the same contract length.,100 Mbps download speed.,40 Mbps download speed.
nm_0005__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,9,B,B,A,BA,ab,claude-sonnet-4-5-20250929,93,4,2026-03-13T03:18:11.809803+00:00,nm_0005,BA,nm_0005,internet,You are choosing between two home internet plans with the same contract length.,100 Mbps download speed.,40 Mbps download speed.
