item_id,template_family,mode,condition,evaluation_mode,position,raw_response,presented_choice,original_choice,option_order,response_label_scheme,model,input_tokens,output_tokens,timestamp,base_item_id,paired_order,paraphrase_group,domain,scenario_text,option_A_text,option_B_text
nm_0001__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,0,1,1,A,AB,12,claude-sonnet-4-5-20250929,103,5,2026-03-13T03:24:39.701809+00:00,nm_0001,AB,nm_0001,shopping,You are choosing between two grocery store discount offers.,Save $5 on a $20 purchase today.,Save $2 on a $20 purchase today.
nm_0001__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,1,2,2,A,BA,12,claude-sonnet-4-5-20250929,103,5,2026-03-13T03:24:41.155454+00:00,nm_0001,BA,nm_0001,shopping,You are choosing between two grocery store discount offers.,Save $5 on a $20 purchase today.,Save $2 on a $20 purchase today.
nm_0002__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,2,1,1,A,AB,12,claude-sonnet-4-5-20250929,105,5,2026-03-13T03:24:44.867183+00:00,nm_0002,AB,nm_0002,travel,You are choosing between two train itineraries for the same trip.,Arrives in 35 minutes with no transfers.,Arrives in 50 minutes with one transfer.
nm_0002__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,3,2,2,A,BA,12,claude-sonnet-4-5-20250929,105,5,2026-03-13T03:24:46.661751+00:00,nm_0002,BA,nm_0002,travel,You are choosing between two train itineraries for the same trip.,Arrives in 35 minutes with no transfers.,Arrives in 50 minutes with one transfer.
nm_0003__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,4,1,1,A,AB,12,claude-sonnet-4-5-20250929,97,5,2026-03-13T03:24:52.896370+00:00,nm_0003,AB,nm_0003,storage,You are choosing between two cloud storage plans at the same monthly price.,200 GB of storage.,50 GB of storage.
nm_0003__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,5,2,2,A,BA,12,claude-sonnet-4-5-20250929,97,5,2026-03-13T03:24:56.882124+00:00,nm_0003,BA,nm_0003,storage,You are choosing between two cloud storage plans at the same monthly price.,200 GB of storage.,50 GB of storage.
nm_0004__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,6,1,1,A,AB,12,claude-sonnet-4-5-20250929,105,5,2026-03-13T03:25:00.158667+00:00,nm_0004,AB,nm_0004,battery,You are choosing between two portable battery packs at the same price.,Lasts for 12 hours of use.,Lasts for 6 hours of use.
nm_0004__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,7,2,2,A,BA,12,claude-sonnet-4-5-20250929,105,5,2026-03-13T03:25:04.254604+00:00,nm_0004,BA,nm_0004,battery,You are choosing between two portable battery packs at the same price.,Lasts for 12 hours of use.,Lasts for 6 hours of use.
nm_0005__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,8,1,1,A,AB,12,claude-sonnet-4-5-20250929,101,5,2026-03-13T03:25:07.121842+00:00,nm_0005,AB,nm_0005,internet,You are choosing between two home internet plans with the same contract length.,100 Mbps download speed.,40 Mbps download speed.
nm_0005__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,9,2,2,A,BA,12,claude-sonnet-4-5-20250929,101,5,2026-03-13T03:25:10.426305+00:00,nm_0005,BA,nm_0005,internet,You are choosing between two home internet plans with the same contract length.,100 Mbps download speed.,40 Mbps download speed.
