item_id,template_family,paraphrase_group,option_A_benefit_magnitude,option_A_harm_magnitude,option_A_benefit_probability,option_A_temporal_delay,option_A_directness_of_harm,option_A_beneficiary_identified,option_A_consent_of_harmed_party,option_A_reversibility_of_harm,option_B_benefit_magnitude,option_B_harm_magnitude,option_B_benefit_probability,option_B_temporal_delay,option_B_directness_of_harm,option_B_beneficiary_identified,option_B_consent_of_harmed_party,option_B_reversibility_of_harm,option_order,delta_benefit_magnitude,delta_harm_magnitude,delta_benefit_probability,delta_temporal_delay,delta_directness_of_harm,delta_beneficiary_identified,delta_consent_of_harmed_party,delta_reversibility_of_harm,anchor_flag,semantic_prob_a,semantic_margin,ambiguity_score,max_benefit,max_harm,any_direct_harm,benefit_extremity,harm_extremity,extremity_score,benefit_harm_conflict,both_have_harm,corner_distance,cell
cand_0302,direct_harm_tradeoff,pg_0302,100,0,0.2,100,0,0,0,0,100,1,1.0,0,0,0,1,0,AB,0,-1,-0.8,100,0,0,-1,0,False,0.011750227752187497,0.976499544495625,0.023500455504374962,100,1,0.0,0.5,0.5,0.3333333333333333,False,False,0.11166338252002421,low_ambiguity_low_extremity
cand_0274,policy_prevention,pg_0274,10,1,1.0,0,0,1,1,1,10,1,0.5,0,0,0,1,0,AB,0,0,0.5,0,0,1,0,1,False,0.9737459122052115,0.9474918244104229,0.0525081755895771,10,1,0.0,0.0,0.5,0.16666666666666666,False,True,0.030534886281523635,low_ambiguity_low_extremity
cand_0084,rescue_triage,pg_0084,100,1,0.5,10,0,1,1,0,10,0,0.2,100,0,0,0,0,BA,90,1,0.3,-90,0,1,1,0,False,0.9626866262135634,0.9253732524271268,0.07462674757287324,100,1,0.0,0.5,0.5,0.3333333333333333,True,False,0.11668026256441645,low_ambiguity_low_extremity
cand_0032,direct_harm_tradeoff,pg_0032,10,10,0.2,10,0,1,0,1,10,10,1.0,0,0,1,1,0,BA,0,0,-0.8,10,0,0,-1,1,False,0.02099198290199895,0.9580160341960021,0.04198396580399788,10,10,0.0,0.0,1.0,0.3333333333333333,False,True,0.11287376449574237,low_ambiguity_low_extremity
cand_0121,policy_prevention,pg_0121,100,1,0.2,10,0,1,0,0,100,1,1.0,10,0,1,0,1,BA,0,0,-0.8,0,0,0,0,-1,False,0.014163896480094073,0.9716722070398118,0.02832779296018817,100,1,0.0,0.5,0.5,0.3333333333333333,False,True,0.11191357496510639,low_ambiguity_low_extremity
cand_0276,rescue_triage,pg_0276,10,0,1.0,10,0,1,0,0,10,0,0.2,0,1,1,0,0,AB,0,0,0.8,10,-1,0,0,0,False,0.9618136414754281,0.9236272829508563,0.07637271704914372,10,0,1.0,0.0,0.0,0.3333333333333333,False,False,0.11694390302057968,low_ambiguity_low_extremity
cand_0446,direct_harm_tradeoff,pg_0446,100,1,1.0,0,0,0,1,1,10,1,0.5,100,0,1,0,0,AB,90,0,0.5,-100,0,-1,1,1,False,0.9761744627969989,0.9523489255939979,0.047651074406002136,100,1,0.0,0.5,0.5,0.3333333333333333,False,True,0.11338173600315746,low_ambiguity_low_extremity
cand_0361,policy_prevention,pg_0361,1000,1,1.0,100,0,0,1,0,10,0,0.5,100,0,0,0,0,AB,990,1,0.5,0,0,0,1,0,False,0.9973896886033665,0.994779377206733,0.00522062279326696,1000,1,0.0,1.0,0.5,0.5,True,False,0.25002725490234956,low_ambiguity_low_extremity
cand_0392,direct_harm_tradeoff,pg_0392,10,10,0.2,0,1,1,1,0,1000,0,1.0,10,1,1,0,0,AB,-990,10,-0.8,-10,0,0,1,0,False,0.0015760996749539678,0.996847800650092,0.003152199349907958,1000,10,1.0,1.0,1.0,1.0,False,False,9.936360741560153e-06,low_ambiguity_high_extremity
cand_0397,policy_prevention,pg_0397,10,10,0.5,100,1,0,0,0,1000,1,1.0,0,1,0,1,1,AB,-990,9,-0.5,100,0,0,-1,-1,False,0.00016590268728742738,0.9996681946254251,0.00033180537457488946,1000,10,1.0,1.0,1.0,1.0,False,True,1.1009480659678269e-07,low_ambiguity_high_extremity
